year,total,poplulation,female,female_population,male,male_population,yearRangeOne,yearRangeOne_population,< 1 year,< 1 year_population,1-4 years,1-4 years_population,5-14 years,5-14 years_population,15-24 years,15-24 years_population,yearRangeTwo,yearRangeTwo_population,25-34 years,25-34 years_population,35-44 years,35-44 years_population,yearRangeThree,yearRangeThree_population,45-54 years,45-54 years_population,55-64 years,55-64 years_population,yearRangeFour,yearRangeFour_population,65-74 years,65-74 years_population,75-84 years,75-84 years_population,84+ years,84+ population,Not Stated,Indian,Indian_population,Asian,Asian_population,Black,Black_population,White,White_population
1999,1067,279040168,417,142237295,650,136802873,63,98631399,8,3795762,26,15339782,8,40819824,21,38676031,141,80356812,42,40178406,99,45076677,278,60355845,148,36577819,130,23778026,580,34797841,192,18418909,262,12224914,126,4154018,5,15,2832761,5,11346496,366,36173121,681,228687790
2000,494,281421906,177,143368343,317,138053563,64,99437266,13,3805648,24,15370150,7,41077577,20,39183891,71,79783448,26,39891724,45,45148527,113,61952636,48,37677952,65,24274684,238,34991753,83,18390986,100,12361180,55,4239587,8,7,2984150,6,11757685,133,36594309,348,230085762
2001,538,284968955,183,145077463,355,139891492,62,100663827,15,4012658,31,15285559,5,41152040,11,40213570,75,78943044,22,39471522,53,45051752,146,64491563,81,39386268,65,25105295,242,35290291,83,18384179,108,12593618,51,4312494,13,6,3097333,2,12429181,109,37249775,421,232192666
2002,625,287625193,211,146394634,414,141230559,59,101417165,20,3951461,18,15477731,7,41133838,14,40854135,132,78699292,47,39349646,85,44640649,176,66695526,105,39992194,71,26703332,249,35522207,77,18388535,124,12764864,48,4368808,9,6,3202471,7,12953763,153,37748424,459,233720535
2003,413,290107933,124,147679036,289,142428897,59,102017504,17,3975871,23,15616575,3,41036204,16,41388854,84,78487590,31,39243795,53,44154206,120,68828899,60,40819954,60,28008945,144,35863529,43,18500915,66,12896438,35,4466176,6,11,3312011,8,13461109,81,38209741,313,235125072
2004,309,292805298,81,148977286,228,143828012,63,102599914,18,4014258,23,15771627,3,40865917,19,41948112,61,78533112,18,39266556,43,43800275,89,70935234,56,41629930,33,29305304,83,36203319,32,18667533,31,12989903,20,4545883,13,5,3429452,7,13967014,41,38738798,256,236670034
2005,704,295516599,221,150319521,483,145197078,87,102965215,16,4004393,34,15913007,7,40601646,30,42446169,114,78517294,49,39258647,65,43505538,226,73137401,126,42495904,100,30641497,269,36649798,103,18881697,94,13074802,72,4693299,8,10,3554356,14,14494417,153,39280731,527,238187095
2006,1006,298379912,310,151732647,696,146647265,71,103360553,11,4041738,27,15897145,9,40577826,24,42843844,162,78790358,51,39395179,111,43243801,345,75216272,169,43286159,176,31930113,420,37164107,157,19203027,165,13095151,98,4865929,8,18,3687683,8,15029851,229,39857107,751,239805271
2007,546,301231207,166,153166353,380,148064854,64,103827430,19,4147997,23,15977965,3,40555653,19,43145815,75,79426926,26,39713463,49,42796230,198,77068373,110,43939939,88,33128434,208,37825711,81,19698727,81,13087439,46,5039545,1,9,3829898,10,15559373,133,40451108,394,241390828
2008,502,304093966,162,154604015,340,149489951,76,104298876,23,4132735,31,16138392,6,40636257,16,43391492,84,80414946,33,40207473,51,42192486,158,78617510,81,44460447,77,34157063,181,38777621,60,20505679,73,13076102,48,5195840,3,13,3983929,9,16094699,112,41048959,368,242966379
2009,555,306771529,169,155964075,386,150807454,70,104664513,19,4003587,26,16240931,7,40843063,18,43576932,93,81446684,37,40723342,56,41487811,181,80272688,103,44867088,78,35405600,195,39623175,63,21233099,71,13022775,61,5367301,16,13,4141215,11,16609031,98,41632450,433,244388833
2010,799,308745538,248,156964212,551,151781326,93,104853555,15,3944153,45,16257209,3,41025851,30,43626342,114,82127896,39,41063948,75,41070606,296,81489445,161,45006716,135,36482729,295,40267984,107,21713429,105,13061122,83,5493433,1,12,4263538,12,16993326,200,42065334,575,245423340
